,brand,efficancy_long,efficancy_short,lavant,presentation,product,quality,rincable,smell,texture,chemical,chemical_name
3607,roc,,,,3.5,Tanning - Minesol,3.8,,3.5,3.5,13463-67-7,Titanium dioxide
4118,roc,3.2,3.6,,3.6,Scrub Exfoliating Mask - Purif AC,2.8,,3.4,4.1,13463-67-7,Titanium dioxide
4353,roc,3.4,3.8,,4.1,Matte Moisture Replenish - Hydra +,3.5,,3.8,4.3,13463-67-7,Titanium dioxide
4398,roc,3.2,3.2,,3.8,Creme Anti-Age Multi-Corrective Eye - Retin-Ox Multi Correxion,2.8,,3.6,4.0,13463-67-7,Titanium dioxide
4539,roc,,,,3.8,Tinted Fluid SPF 50+ - Minesol,2.8,,2.8,3.5,13463-67-7,Titanium dioxide
4848,roc,3.4,3.6,,3.8,Daily Moisturizer - Hydra + Destressant,3.3,,3.8,4.3,13463-67-7,Titanium dioxide
4858,roc,,,,4.0,Retinol Anti-Cellulite Expert Modelling,3.4,,4.0,4.3,13463-67-7,Titanium dioxide
4978,roc,4.0,4.0,,2.0,Retinol Actif Pur Day,2.0,,4.0,4.0,13463-67-7,Titanium dioxide
5394,roc,,,,3.7,Hydra + Summer Skin,3.2,,3.3,3.9,13463-67-7,Titanium dioxide
6625,roc,3.4,4.5,,3.9,Soothing Repairing - Purif-AC,3.5,,3.4,4.0,13463-67-7,Titanium dioxide
6881,roc,,,,3.6,Milk Spray SPF 50+ Minesol,3.1,,2.8,2.8,13463-67-7,Titanium dioxide
7035,roc,3.5,3.7,,3.9,Day Moisturizer Anti-Wrinkle Intensive - Retin-Ox +,3.1,,3.4,4.2,13463-67-7,Titanium dioxide
7904,roc,,,,4.0,Gentle Scrub,3.8,,3.5,4.3,13463-67-7,Titanium dioxide
7981,roc,3.7,3.9,,3.8,Relaxing Nourishing Night Care - Hydra + Destressant,3.7,,4.0,4.4,13463-67-7,Titanium dioxide
7988,roc,,,,4.0,Retinol Anti-Cellulite - Modelling,2.9,,3.9,4.2,13463-67-7,Titanium dioxide
8126,roc,,,,4.0,Emultion Anti-Shine SPF30 - Minesol,3.9,,3.4,4.1,13463-67-7,Titanium dioxide
8127,roc,,,,3.3,Soothing Repairing Balm - Minesol,,,3.0,3.7,13463-67-7,Titanium dioxide
8360,roc,,,,3.7,Daily Cleansing Pads renovators - RENEWEX,3.2,,4.0,4.3,13463-67-7,Titanium dioxide
8562,roc,2.8,3.3,,4.3,Post Epil Deodorant - Cheops,3.0,,3.3,3.8,13463-67-7,Titanium dioxide
8916,roc,3.4,3.6,,3.6,Care Anti-Wrinkle Intensive Eye - Retin-Ox +,3.5,,3.5,4.0,13463-67-7,Titanium dioxide
9463,roc,,,,3.8,Illuminator - Retin-Ox,2.8,,,3.8,13463-67-7,Titanium dioxide
9648,roc,1.3,1.9,,3.2,Excessive Sweating - Cheops,1.6,,2.9,3.1,13463-67-7,Titanium dioxide
9730,roc,3.1,3.2,,4.0,Care Anti-Wrinkle Intensive-Night - Retin-Ox +,3.3,,3.4,4.3,13463-67-7,Titanium dioxide
9750,roc,,,,4.5,Body Peeling - Modelling,2.0,,3.5,4.0,13463-67-7,Titanium dioxide
10036,roc,4.4,4.4,,4.3,Serum Soft - Retin-Ox +,4.1,,4.3,4.9,13463-67-7,Titanium dioxide
10040,roc,,,,3.2,Patch Anti-Cellulite,1.2,,2.6,2.6,13463-67-7,Titanium dioxide
10541,roc,,,,3.8,Fair Skin Moisturizer - Hydra + Summer Skin,2.9,,3.0,3.7,13463-67-7,Titanium dioxide
10542,roc,,,,3.9,Moisturizing Skin Mates - Hydra + Summer Skin,3.1,,3.6,4.0,13463-67-7,Titanium dioxide
10938,roc,,,,4.7,Body Perfector Anti-cellulite,3.3,,4.3,4.7,13463-67-7,Titanium dioxide
11417,roc,2.9,3.4,,4.3,Firming Eye Contour Pen - CompleteLift,2.7,,3.8,3.9,13463-67-7,Titanium dioxide
11457,roc,,,,3.6,Fluid Cream SPF 50+ - Minesol,3.4,,3.4,3.6,13463-67-7,Titanium dioxide
11987,roc,,,,4.6,Freshness spray SPF 30 - Application Express Minesol,3.7,,3.7,4.7,13463-67-7,Titanium dioxide
12268,roc,,,,3.7,Cleansing Lotion for the Eyes,3.1,,,4.0,13463-67-7,Titanium dioxide
12356,roc,4.5,4.7,,4.1,Repairing Lip Stick - Enydrial,4.2,,4.1,4.4,13463-67-7,Titanium dioxide
12358,roc,,,,5.0,Baume Mineral Fragile Zones IP50 + - Minesol,5.0,,5.0,5.0,13463-67-7,Titanium dioxide
12614,roc,,,,4.1,Care Anti-Brown Spots IP50 + Minesol,3.1,,3.4,3.3,13463-67-7,Titanium dioxide
12830,roc,2.0,2.0,,2.8,Firming Care - Protient Lift,2.0,,1.0,2.5,13463-67-7,Titanium dioxide
12883,roc,4.2,4.5,,4.2,Repairing Lip Stick - Enydrial,3.9,,3.9,4.4,13463-67-7,Titanium dioxide
13073,roc,3.4,3.8,,4.0,Replenishing Nourishing Skin Care Dry Skin - Hydra +,3.0,,4.8,4.4,13463-67-7,Titanium dioxide
13102,roc,4.0,4.0,,4.0,Soothing Body Lotion - Calmance,3.0,,3.0,3.0,13463-67-7,Titanium dioxide
11996,wet n wild,,,,3.0,Silk Finish Blush,5.0,,,5.0,13463-67-7,Titanium dioxide
8064,juice beauty,,,,5.0,Hydrating Mist,3.0,,5.0,5.0,13463-67-7,Titanium dioxide
8065,juice beauty,,,,4.7,Soft Scrub Remover,3.7,,4.9,4.9,13463-67-7,Titanium dioxide
9156,juice beauty,,,,4.8,Cleansing Gel,3.4,,4.4,5.0,13463-67-7,Titanium dioxide
10217,juice beauty,,,,3.4,Peeling Green Apple,3.3,,3.8,3.9,13463-67-7,Titanium dioxide
10313,juice beauty,3.4,3.5,,4.6,Clarifying Serum,2.9,,4.0,4.4,13463-67-7,Titanium dioxide
12659,juice beauty,5.0,4.0,,3.5,SPF 30 Mineral Sheer Moisturizer,3.5,,4.5,4.0,13463-67-7,Titanium dioxide
12169,cover fx,,,,4.4,Mineral FX,3.8,,,4.4,13463-67-7,Titanium dioxide
358,stila,,,,4.4,Convertible Color,3.4,,,4.2,13463-67-7,Titanium dioxide
1093,stila,,,,4.0,Shadow Moss Paupieres,3.4,,,4.6,13463-67-7,Titanium dioxide
1095,stila,,,,3.9,Shadow Paupieres,4.0,,,4.7,13463-67-7,Titanium dioxide
1907,stila,,,,,Major Lash Mascara,3.2,,,,13463-67-7,Titanium dioxide
2178,stila,,,,5.0,It Gloss,4.4,,,4.8,13463-67-7,Titanium dioxide
2737,stila,,,,3.0,Fluid Foundation,2.0,,,4.0,13463-67-7,Titanium dioxide
3727,stila,,,,4.7,Color Everywhere,3.3,,,4.3,13463-67-7,Titanium dioxide
4092,stila,,,,,# 8 Powder Brush,4.7,,,,13463-67-7,Titanium dioxide
4093,stila,,,,,# 26 Brush Concealer,5.0,,,,13463-67-7,Titanium dioxide
4094,stila,,,,,# 1 Blush Brush,4.0,,,,13463-67-7,Titanium dioxide
4095,stila,,,,,# 7 Brush Eye Contour,4.0,,,,13463-67-7,Titanium dioxide
4096,stila,,,,4.5,Stila Sun,4.0,,,5.0,13463-67-7,Titanium dioxide
4097,stila,,,,4.2,Sheer Pressed Powder,3.3,,,4.4,13463-67-7,Titanium dioxide
4380,stila,,,,4.6,Stick Covering,4.4,,,4.6,13463-67-7,Titanium dioxide
4381,stila,,,,3.5,Stick Exquisite Complexion,2.3,,,3.0,13463-67-7,Titanium dioxide
4382,stila,,,,4.5,Exquisite Complexion Concealer,3.3,,,3.8,13463-67-7,Titanium dioxide
4383,stila,,,,3.6,Tanning Gel,3.2,,,3.6,13463-67-7,Titanium dioxide
4384,stila,,,,4.5,Gel Eyeliner Compact,4.3,,,4.8,13463-67-7,Titanium dioxide
4896,stila,3.1,3.6,,3.8,Tint Moisturizer SPF 15,3.1,,3.6,3.9,13463-67-7,Titanium dioxide
5882,stila,,,,4.2,Cheek Color - blush,4.4,,,4.4,13463-67-7,Titanium dioxide
5883,stila,,,,4.0,Pivotal Skin Base Foundation SPF 8,3.3,,,4.0,13463-67-7,Titanium dioxide
5884,stila,,,,,Lash Visor - Waterproof Mascara,3.2,,,,13463-67-7,Titanium dioxide
6731,stila,,,,4.2,Eyebrow Kit,4.4,,,4.6,13463-67-7,Titanium dioxide
7036,stila,,,,,# 15 Eye Contour Brush and Eyeliner,5.0,,,,13463-67-7,Titanium dioxide
7460,stila,,,,4.1,Lumiere Powder Foundation,4.3,,,4.9,13463-67-7,Titanium dioxide
8086,stila,,,,5.0,Just My Luck - Lucky Peach,4.0,,,,13463-67-7,Titanium dioxide
8101,stila,,,,4.4,Kajal Eye Liner,3.2,,,4.3,13463-67-7,Titanium dioxide
10396,stila,,,,4.0,Eye Concealer,3.5,,,4.3,13463-67-7,Titanium dioxide
12085,stila,,,,4.3,Luminous Liquid Foundation,4.0,,,4.5,13463-67-7,Titanium dioxide
12769,stila,,,,3.2,Liquid Foundation Non Gras,2.3,,,3.0,13463-67-7,Titanium dioxide
12770,stila,,,,3.8,Plumping Lip Glaze,3.2,,,4.1,13463-67-7,Titanium dioxide
12908,bigen,,,,,Permanent Powder Hair Color,3.3,,,,13463-67-7,Titanium dioxide
21,dove,3.4,3.7,3.9,3.7,Shampoo Dry Hair Lotion or Abimes,3.6,3.9,4.0,4.1,13463-67-7,Titanium dioxide
108,dove,,,,4.6,Care of hands regenerant night,4.0,,4.1,4.4,13463-67-7,Titanium dioxide
302,dove,3.4,3.9,,3.8,Hair Mask Lotion,3.7,,4.2,4.2,13463-67-7,Titanium dioxide
2039,dove,3.4,3.4,,4.0,Intensive Lotion steadying,3.8,,4.3,4.1,13463-67-7,Titanium dioxide
2446,dove,,,4.6,4.3,Intensive Care Cream Bar with natural oil,4.5,4.6,4.2,4.6,13463-67-7,Titanium dioxide
2456,dove,,,,4.2,Pain de Toilette Gentle Exfoliant,4.0,,4.4,4.1,13463-67-7,Titanium dioxide
2619,dove,,,,4.0,Anti-Aging Hand Cream,4.8,,5.0,4.8,13463-67-7,Titanium dioxide
2851,dove,,,,3.5,Foaming Cleansing Wipes,2.8,,3.2,3.4,13463-67-7,Titanium dioxide
2866,dove,,,3.7,3.8,Relaxing Shower Creme,3.7,3.2,3.3,3.5,13463-67-7,Titanium dioxide
3074,dove,3.8,4.3,,4.2,Effect Silk Lotion,4.0,,4.3,4.3,13463-67-7,Titanium dioxide
3107,dove,,,4.6,4.4,Fresh Touch soap,4.3,4.4,4.3,4.4,13463-67-7,Titanium dioxide
3342,dove,3.9,4.1,,4.0,Firming Lotion,4.1,,4.2,4.1,13463-67-7,Titanium dioxide
4004,dove,3.3,3.9,,4.3,Deodorant Ball - Invisible,3.5,,3.9,3.9,13463-67-7,Titanium dioxide
4218,dove,,,4.1,4.3,Oil Shower Creme - Sweet Almond Blossom,3.7,3.5,4.0,3.9,13463-67-7,Titanium dioxide
4345,dove,3.1,3.4,,4.3,Firming Cream-Serum - Bust and Decollete,3.7,,3.9,4.2,13463-67-7,Titanium dioxide
4607,dove,3.7,4.2,4.2,4.2,Radiance Shampoo protector - Color Care,3.9,3.8,4.4,4.3,13463-67-7,Titanium dioxide
4762,dove,1.7,2.0,,3.3,Advanced Color Protection Conditioner,2.3,,3.7,3.3,13463-67-7,Titanium dioxide
4763,dove,2.7,3.2,3.3,4.0,Advanced Color Protection Shampoo,3.3,3.5,4.2,3.3,13463-67-7,Titanium dioxide
5271,dove,4.0,4.2,,4.0,Skin Nourishing Milk Dried,3.9,,4.0,3.8,13463-67-7,Titanium dioxide
5416,dove,3.6,4.0,,4.2,Deodorant Spray Fresh Touch,3.4,,3.8,3.5,13463-67-7,Titanium dioxide
5768,dove,,,4.2,4.2,Firming shower Programme,4.0,3.8,3.9,4.1,13463-67-7,Titanium dioxide
6429,dove,3.4,3.8,,4.0,No Rinse Care Smooth and Silky,3.6,,3.9,4.0,13463-67-7,Titanium dioxide
6453,dove,,,,3.9,Lotion Eclat Dore - Dove Summer Glow,,,3.2,3.8,13463-67-7,Titanium dioxide
6482,dove,4.2,4.5,,4.0,Deodorant Cream - Original,3.9,,4.5,4.3,13463-67-7,Titanium dioxide
7594,dove,,,4.4,4.3,Silk Creme Soft Shower - Dove Supreme Silk,3.8,4.1,4.1,4.6,13463-67-7,Titanium dioxide
7737,dove,4.2,4.5,,4.2,Intensive Nourishing Milk,4.1,,4.3,4.1,13463-67-7,Titanium dioxide
8627,dove,3.4,3.9,,3.9,Firming Lotion,4.0,,4.0,4.0,13463-67-7,Titanium dioxide
9465,dove,,,4.8,4.4,Nutrium,4.4,4.8,4.6,4.6,13463-67-7,Titanium dioxide
9876,dove,3.5,4.1,,4.3,Deodorant Fresh Touch Pen,3.5,,4.0,3.7,13463-67-7,Titanium dioxide
10339,dove,,,,4.2,Sunkissed Facial Moisturizer - Eclat d'Ete,3.8,,3.7,4.1,13463-67-7,Titanium dioxide
10348,dove,3.0,5.0,,4.0,Eye - Energy Luminance,5.0,,4.0,5.0,13463-67-7,Titanium dioxide
10358,dove,3.7,3.7,,4.7,Beauty Lotion Body Care Freshness - Fresh Touch,4.0,,3.7,4.7,13463-67-7,Titanium dioxide
10565,dove,,,4.5,4.5,Soothing Soap loaves Night,4.5,4.3,4.8,4.5,13463-67-7,Titanium dioxide
10771,dove,,,,4.0,Hand Cream - Pro Age,3.5,,3.6,4.0,13463-67-7,Titanium dioxide
11051,dove,3.6,4.2,,3.9,Milk Beauty Body - Light and Silk,3.8,,4.1,4.2,13463-67-7,Titanium dioxide
11119,dove,4.0,4.0,,4.1,Anti-Perspirant Deodorant Ball - Pro-Age,3.5,,4.1,4.1,13463-67-7,Titanium dioxide
11534,dove,,,4.3,3.9,Refreshing Shower Creme,4.0,4.3,4.0,4.1,13463-67-7,Titanium dioxide
11583,dove,3.6,3.8,,4.0,Intensive Body Milk,3.8,,4.1,3.8,13463-67-7,Titanium dioxide
11905,dove,,,,3.8,Intensive Lifting Creme Gel,3.7,,3.8,4.0,13463-67-7,Titanium dioxide
11924,dove,,,4.7,4.5,Creme Mousse,4.2,4.4,4.4,4.6,13463-67-7,Titanium dioxide
12134,dove,,,,4.0,Day Lotion for Sensitive Skin,5.0,,5.0,5.0,13463-67-7,Titanium dioxide
12533,dove,,,,4.0,Daily Silk Shower Scrub,4.0,,4.1,3.9,13463-67-7,Titanium dioxide
12801,dove,,,4.2,4.2,Shower Creme and Oil,4.0,3.8,4.4,4.1,13463-67-7,Titanium dioxide
12940,dove,,,4.7,4.1,Beauty Care Shower,4.3,4.4,4.6,4.6,13463-67-7,Titanium dioxide
365,shu uemura,,,,,Mascara Brush 25 mm,5.0,,,,13463-67-7,Titanium dioxide
366,shu uemura,,,,,Synthetic Eyebrow Brush,4.0,,,,13463-67-7,Titanium dioxide
474,shu uemura,,,,4.7,Balance High Performance Cleansing Oil Classic,3.5,,4.4,4.7,13463-67-7,Titanium dioxide
678,shu uemura,,,,,FiberXtension Mascara,4.5,,,,13463-67-7,Titanium dioxide
998,shu uemura,,,,4.5,Balance High Performance Cleansing Oil Freshness,3.3,,4.2,4.6,13463-67-7,Titanium dioxide
1240,shu uemura,,,,4.8,Retractable Pencil Eye Liner,3.3,,,4.0,13463-67-7,Titanium dioxide
2957,shu uemura,,,,,Bite pliers Hair Be Removed Bias,5.0,,,,13463-67-7,Titanium dioxide
3761,shu uemura,,,,4.8,Cosmetic lotion strength-building - B-G Resistance,4.0,,4.8,4.8,13463-67-7,Titanium dioxide
4128,shu uemura,,,,,Individual False Eyelashes,5.0,,,,13463-67-7,Titanium dioxide
4130,shu uemura,,,,,Glue for False Eyelashes,3.8,,,,13463-67-7,Titanium dioxide
4131,shu uemura,,,,,Natural Hair Brush 20H,4.3,,,,13463-67-7,Titanium dioxide
6135,shu uemura,,,,,Precise Volume Mascara Waterproof,3.2,,,,13463-67-7,Titanium dioxide
6357,shu uemura,,,,4.5,Nail Enamel Supplement Mineral,2.2,,,4.0,13463-67-7,Titanium dioxide
6897,shu uemura,,,,,Cotton Swab,5.0,,,,13463-67-7,Titanium dioxide
8606,shu uemura,4.6,4.7,,4.7,Moisture Replenishing Essence Depsea,4.0,,4.1,4.6,13463-67-7,Titanium dioxide
8607,shu uemura,,,,5.0,Moisture Replenishing Lotion Depsea,2.6,,4.6,4.6,13463-67-7,Titanium dioxide
8608,shu uemura,4.2,4.5,,4.6,Moisture Replenishing Emulsion Depsea,3.5,,4.3,4.4,13463-67-7,Titanium dioxide
9014,shu uemura,,,,4.8,Rouge Unlimited,3.8,,,4.7,13463-67-7,Titanium dioxide
9413,shu uemura,,,,4.4,UV Under Base,3.1,,,4.4,13463-67-7,Titanium dioxide
9429,shu uemura,,,,4.8,Base Control,3.8,,,4.5,13463-67-7,Titanium dioxide
12728,shu uemura,,,,,Precise Length Mascara,3.8,,,,13463-67-7,Titanium dioxide
3250,aveeno,4.0,4.3,,3.8,Moisturizing Creme has Colloidal oatmeal,4.0,,3.6,4.2,13463-67-7,Titanium dioxide
3615,aveeno,3.2,3.8,,4.1,Creme Moisturizing Body Fluid,3.2,,2.8,4.1,13463-67-7,Titanium dioxide
8693,aveeno,,,,4.0,Creme Mains UltraSoins,4.0,,3.7,4.7,13463-67-7,Titanium dioxide
9456,aveeno,,,3.7,3.2,Cleansing Oil is Colloidal oatmeal,3.3,3.8,3.1,3.6,13463-67-7,Titanium dioxide
12253,crest,,,,4.6,Complete Extra Fresh,4.6,,,4.8,13463-67-7,Titanium dioxide
2517,max factor,,,,3.5,Lasting Performance,4.0,,,4.1,13463-67-7,Titanium dioxide
4138,max factor,,,,4.3,Panstik,4.4,,,4.6,13463-67-7,Titanium dioxide
5371,max factor,,,,,2000 Calorie Mascara,4.1,,,,13463-67-7,Titanium dioxide
11691,max factor,,,,,Masterpiece Max by Ellen Betrix,4.2,,,,13463-67-7,Titanium dioxide
12933,max factor,,,,3.0,Sun-Kissed Bronzing Powder,3.7,,,3.3,13463-67-7,Titanium dioxide
300,eucerin,,,,4.7,Ultra Protection 50+,4.3,,4.0,4.3,68603-42-9,Cocamide diethanolamine
354,eucerin,3.8,4.1,,4.0,Soothing - Re-balance,3.8,,3.9,4.3,68603-42-9,Cocamide diethanolamine
2722,eucerin,3.5,3.7,,4.0,Care Tint Redness Calming SPF 15,3.4,,3.8,3.8,68603-42-9,Cocamide diethanolamine
3653,eucerin,3.1,3.4,,3.7,Sensi - Night Rides,3.1,,3.4,3.9,68603-42-9,Cocamide diethanolamine
3681,eucerin,,,4.2,3.5,Cleansing Gel 5% Urea,3.8,4.3,3.4,4.0,68603-42-9,Cocamide diethanolamine
4853,eucerin,4.0,4.4,4.1,4.1,PH5 shampoo,3.9,4.4,4.5,4.4,68603-42-9,Cocamide diethanolamine
5216,eucerin,3.2,3.7,,2.9,Calming - Anti-redness,3.2,,3.4,4.0,68603-42-9,Cocamide diethanolamine
5247,eucerin,3.7,3.9,,4.0,Lip balm Reparateur,3.3,,3.6,3.8,68603-42-9,Cocamide diethanolamine
5277,eucerin,4.0,4.2,,4.0,Hydro Protect Oily and Combination,3.8,,3.5,4.2,68603-42-9,Cocamide diethanolamine
5815,eucerin,4.2,4.2,,3.5,Emollient 10% Urea,3.5,,2.9,3.6,68603-42-9,Cocamide diethanolamine
5971,eucerin,3.1,3.4,,3.4,Dermo-Calming Cleanser - Anti-Redness,3.0,,2.8,3.4,68603-42-9,Cocamide diethanolamine
6229,eucerin,3.1,3.5,,4.1,Sensi-Wrinkle Eye,3.4,,3.9,4.2,68603-42-9,Cocamide diethanolamine
6275,eucerin,3.5,3.9,,3.7,Sensi-Wrinkle Day,3.1,,3.5,4.2,68603-42-9,Cocamide diethanolamine
7660,eucerin,,,,3.8,Dermo-Cleanser - Re-Balance,3.2,,4.2,4.0,68603-42-9,Cocamide diethanolamine
9622,eucerin,,,,4.0,Emollient 3% urea - Special Child,3.5,,4.0,4.5,68603-42-9,Cocamide diethanolamine
9993,eucerin,,,,3.9,LEB 25 Protection,4.3,,3.8,4.3,68603-42-9,Cocamide diethanolamine
10257,eucerin,,,,3.0,After Sun Repair Ultra,,,2.5,4.0,68603-42-9,Cocamide diethanolamine
10416,eucerin,4.0,4.1,,3.6,Face Cream 5% Urea,3.5,,3.4,4.1,68603-42-9,Cocamide diethanolamine
10464,eucerin,4.6,4.5,,3.5,Body Creme 7% of Urea,3.8,,3.1,3.9,68603-42-9,Cocamide diethanolamine
11857,eucerin,3.5,3.6,,3.4,Hyaluron-Filler Day,3.5,,3.7,4.1,68603-42-9,Cocamide diethanolamine
12208,eucerin,,,,3.7,Dermo-milk Remover,4.1,,4.4,4.4,68603-42-9,Cocamide diethanolamine
12209,eucerin,,,,3.4,Lotion Dermo-Balancing,4.0,,4.1,4.0,68603-42-9,Cocamide diethanolamine
12910,eucerin,3.8,3.9,,3.8,Hydro-Protect Mat,3.0,,3.1,4.0,68603-42-9,Cocamide diethanolamine
8230,goldwell,,,,5.0,Star Polish Shine Wax,4.0,,4.0,4.0,13463-67-7,Titanium dioxide
874,givenchy,,,,5.0,Summer Eyes Cream,3.0,,,4.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1016,givenchy,,,,4.5,Subli'Mine,3.7,,,4.7,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1532,givenchy,,,,4.2,Fluid Matmate,2.3,,,3.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1754,givenchy,4.5,5.0,,3.5,No Surgetics Night - No Surgetics,3.5,,4.5,5.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1755,givenchy,2.7,2.7,,4.0,Lifting Serum redesigned Contours - No Surgetics Plasti Sculpt,2.7,,4.0,4.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1756,givenchy,2.0,2.3,,4.0,Face Lifting Creme remodeled - No Surgetics Plasti Sculpt,1.7,,3.3,3.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1757,givenchy,4.0,4.3,,4.8,Hydration Gel milk Matifiante - Fresh Skin Drink,3.5,,4.3,4.8,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1760,givenchy,3.9,4.7,,4.3,Hydration Cream-Yogurt Essential - Skin Soft Drink,3.5,,4.4,4.9,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1761,givenchy,3.5,4.0,,4.8,Nourishing Hydrating Creme whole - Skin Drink Rich,2.8,,4.8,4.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1762,givenchy,,,,5.0,Creme Mousse Cleanser - Clean It Tender,5.0,,3.0,5.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1763,givenchy,,,,3.7,Cruise Cleansing Gel - Clean It True,3.7,,4.3,4.7,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1764,givenchy,,,,4.0,Soft Scrub Massage - Peel It Softly,4.0,,5.0,4.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1765,givenchy,3.0,4.0,,4.8,Skin Drink Eye - Skin Drink,3.5,,4.0,4.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1766,givenchy,,,,4.5,Skin Drink Express - Skin Drink,4.2,,4.7,4.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
1964,givenchy,,,,4.6,Pop Gloss,3.1,,,4.6,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
2234,givenchy,,,,4.6,Magic Khol,3.7,,,4.6,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
2235,givenchy,,,,4.7,Prisme Again! Eyes,3.5,,,4.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
3251,givenchy,,,,4.4,Mister Light,3.3,,,4.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
3275,givenchy,,,,4.4,Mister Eyebrow,4.0,,,4.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
3947,givenchy,,,,4.8,Pop Gloss Crystal,3.2,,,4.2,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
4509,givenchy,,,,3.8,Sublim'Mine Sculpt Light - Sailing Foundation of Modeling,3.7,,,4.2,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
4961,givenchy,,,,4.8,Prism semi-free Mirror,3.0,,,4.6,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
5259,givenchy,,,,4.8,Compact Subli'Mine,2.8,,,4.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
5541,givenchy,3.4,3.3,,4.1,Power Youth Cream Gel,2.8,,4.3,3.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
5543,givenchy,3.5,4.3,,4.8,Baby Lips,3.5,,4.0,4.5,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
5578,givenchy,3.0,3.7,,4.3,Power Youth,3.0,,3.3,4.3,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
5579,givenchy,3.5,3.8,,4.2,Power Youth Eye,3.3,,3.3,4.8,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
6518,givenchy,4.5,4.5,,5.0,Silky smooth sailing - Amarige,4.0,,5.0,5.0,1333-86-4,"Carbon black (airborne, unbound particles of respirable size)"
